"name","en_name","price:","net_price","discount_percent","review_count","review_rate",subcategory_name
"연희 홍차","Yoenhee Black Tea","15000","null","0","0","0","발효주"
"연희 멜론","Yoenhee Melon","13000","null","0","0","0","발효주"
"연희 유자","Yoenhee Yuja","13000","null","0","0","0","발효주"
"연희 민트","Yoenhee Mint","12000","null","0","0","0","발효주"
"메밀 로25","Buckwheat Ro","24000","null","0","0","0","증류주"
"메밀 로25","Buckwheat Ro","24000","null","0","0","0","증류주"
"칠홉스 홉스앤칠","Chillhops Hops N Chill","11000","null","0","0","0","에일"
"칠홉스 홉스앤칠","Chillhops Hops N Chill","11000","null","0","0","0","에일"
"칠홉스 홉스앤스릴","Chillhops Hops N Thrill","12000","null","0","0","0","에일"
"칠홉스 홉스앤스릴","Chillhops Hops N Thrill","12000","null","0","0","0","에일"
"칠홉스 피지오렌지","Chillhops Fizzy Oranzzy","11000","null","0","0","0","기타"
"칠홉스 피지오렌지","Chillhops Fizzy Oranzzy","11000","null","0","0","0","기타"
"칠홉스 피지디지","Chillhops Fizzy Dizzy","11000","null","0","0","0","기타"
"리차드 헤네시(구형)","Richard Hennessy","5500000","null","0","0","0","꼬냑"
"칠홉스 피지디지","Chillhops Fizzy Dizzy","11000","null","0","0","0","기타"
"칠홉스 패션츄르","Chillhops Passionfruit","7500","null","0","0","0","에일"
"칠홉스 패션츄르","Chillhops Passionfruit","7500","null","0","0","0","에일"
"칠홉스 조이 쥬시","Chillhops Joy Juicy","7000","null","0","0","0","에일"
"칠홉스 조이 쥬시","Chillhops Joy Juicy","7000","null","0","0","0","에일"
"칠홉스 오드X림","Chillhops Oat X Ream","8000","null","0","0","0","에일"
"칠홉스 오드X림","Chillhops Oat X Ream","8000","null","0","0","0","에일"
"칠홉스 리파","Chillhops Rippa","11500","null","0","0","0","에일"
"칠홉스 리파","Chillhops Rippa","11500","null","0","0","0","에일"
"호세 쿠엘보 에스페샬","Jose Cuervo Especial","37000","null","0","120","4.8","데킬라"
"글렌드로낙 포트우드","Glendronach Port Wood","176000","null","0","8","4.9","싱글몰트"
"글렌알라키 10년 CS 배치 9","GlenAllachie 10yo Cask Strength Batch 9","199000","null","0","30","4.9","싱글몰트"
"야마자키 12년 100주년 기념 에디션","Yamazaki 12yo 100th Anniversary Edition","880000","null","0","2","5","싱글몰트"
"글렌알라키 7년 헝가리안 버진 오크 피니쉬","GlenAllachie 7yo Hungarian Virgin Oak Finish","180000","null","0","1","5","싱글몰트"
"글렌알라키 8년 스코티쉬 버진 오크 피니쉬","GlenAllachie 8yo Scottish Virgin Oak Finish","192000","null","0","1","5","싱글몰트"
"글렌알라키 10년 스페니쉬 버진 오크 피니쉬","GlenAllachie 10yo Spanish Virgin Oak Finish","208000","null","0","2","5","싱글몰트"
"화요 53 500ml","HWAYO 53 500ml","50000","null","0","758","4.8","증류주"
"어프리데이 스타우트","Afreeday Stout","7000","null","0","0","0","에일"
"어프리데이 스타우트","Afreeday Stout","7000","null","0","0","0","에일"
"어프리데이 페일에일","Afreeday Pale ale","7000","null","0","0","0","에일"
"어프리데이 페일에일","Afreeday Pale ale","7000","null","0","0","0","에일"
"슈렝케를라 헬레스","Schlenkerla Rauchbier Heller","7700","null","0","0","0","라거"
"슈렝케를라 메르첸","Schlenkerla Rauchbier Marzen","9500","null","0","0","0","라거"
"서울 오리지날","Seoul Original","14000","null","0","0","0","발효주"
"서울 핑크","Seoul Pink","15000","null","0","0","0","발효주"
"안동소주 각시탈 200ml 30%","Andong Soju Wife Mask 200ml 30%","19500","null","0","0","0","증류주"
"안동소주 양반탈 200ml 30%","Andong Soju gentleman mask 200ml 30%","19500","null","0","0","0","증류주"
"부자 진 개똥쑥","Buja Gin Wormwood","78000","null","0","0","0","증류주"
