"id","knowledgeShoppingMallProductId","originProductNo","productName","productOptionContent","reviewContent","reviewScore","writerId","createDate","reviewUrls","onnsProductItemNo",parseImg
"4639364396","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","믿는 구석이 있어 편안합니다ㅎㅎ","5","seri*****","2025-01-10T04:38:03.005+00:00","&https://phinf.pstatic.net/checkout.phinf/20250110_283/1736483878897AGCJJ_JPEG/1000004854.jpg&","216480",""
"4636702545","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","양치못할때 시원하고좋네요","4","esun****","2025-01-06T13:09:04.272+00:00","&https://phinf.pstatic.net/checkout.phinf/20250106_216/1736168923032ylOQ0_JPEG/20250103_222813.jpg&","216480",""
"4630199907","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","입안이 아주 개운합니다 양치못할상황일때 좋아요","5","hong*******","2024-12-27T04:55:02.635+00:00","&https://phinf.pstatic.net/checkout.phinf/20241227_298/1735275295840STyTG_JPEG/17352752665727145311759702361508.jpg&","216480",""
"4629507210","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","커피 마실때 마다 양치하기는 힘들어서 구매 했는데
입가심용으로 너무 좋습니다","5","canc****","2024-12-26T05:00:37.273+00:00","&https://phinf.pstatic.net/checkout.phinf/20241226_138/1735189228108GV6rw_JPEG/KakaoTalk_20241226_135951382.jpg&","216480",""
"4631705423","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","배송 빠르고 사용하기 편해서 좋아요!","5","hans*****","2024-12-29T13:31:25.552+00:00","&https://phinf.pstatic.net/checkout.phinf/20241229_142/1735479077057KtcUe_JPEG/1000094374.jpg&","216480",""
"4635493214","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","항상 재구매 하고 있어요~ ㅎㅎ","5","vogu******","2025-01-04T13:56:10.818+00:00","&https://phinf.pstatic.net/checkout.phinf/20250104_13/17359989676957Kjck_JPEG/EB94B0EBB489.jpeg&","216480",""
"4643840324","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","입냄새 싹 잡아줘서 좋네요!","4","jh****","2025-01-16T12:11:25.360+00:00","","216480",""
"4641213022","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","가격이 좀 있어도 배송도 빠르고 사탕도 아주 좋습니다
.","5","ratp***","2025-01-13T02:54:00.149+00:00","","216480",""
"4637747555","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","친구가 줘서 한번 먹어봤는데 구취를 확실히 잡아줘서 좋아요~","5","o_x0***","2025-01-08T02:13:44.630+00:00","","216480",""
"4623036805","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","이번이 한 세번째 구매인데 책상 앞에 두고 입이 텁텁할때 자주 먹어요 리프레시 되고 좋습니다","5","gspr******","2024-12-16T14:52:30.951+00:00","&https://phinf.pstatic.net/checkout.phinf/20241216_7/17343607434452HhLy_JPEG/IMG_4655.jpeg&","216480",""
"4616221929","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","입이계속 요새들어 부쩍 마른느낌이라 찾아보던중 후기가 좋아 구매했는데. 한개먹어보니. 모라할까 깔큼함의 시원함? 텁텁하진 않네요. 꾸준히 먹어보께요.","4","sood******","2024-12-07T05:47:38.683+00:00","&https://phinf.pstatic.net/checkout.phinf/20241207_274/173355045347463Pfx_JPEG/1733550435504.jpg&","216480",""
"4611151450","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","처음 구매해봤어요
자영업하다보니 칫솔질도 못하는 경우가 많아서 ㅠㅠ
크기는 생각했던 것 보다 작네요
엄청 매울까봐 걱정했는데 그래도 먹을만 한 것 같아요
개운핸지고 좋습니다 ㅎㅎ","5","hodd*****","2024-11-30T13:21:28.788+00:00","&https://phinf.pstatic.net/checkout.phinf/20241130_114/17329728851306qccf_JPEG/IMG_1517.jpeg&","216480",""
"4625037223","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","빠른배송 맛있는 맛 2번째구매입니다","5","be****","2024-12-19T05:10:11.048+00:00","&https://phinf.pstatic.net/checkout.phinf/20241219_138/17345850029212Bc2y_JPEG/1000010707.jpg&","216480",""
"4635416490","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","맛은.....그러나 효과는 좋음 입내 쩔때 사용하면 될듯","5","tea7***","2025-01-04T11:48:10.673+00:00","","216480",""
"4610960513","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","직구캔디보다
한국인입맛 맞추어
식후 양치 바로못하였을시나
외출시 정말필수요품으로
챙깁니다
상쾌해서 졸음방지도 되구~
이벤트 자주해서
좋은가격으로 자주 주문했으면
하네요 ㅋ 
무튼 개봉하자말자 한개 쏙
중독캔티네요- ^^","5","kk****","2024-11-30T08:16:43.174+00:00","&https://phinf.pstatic.net/checkout.phinf/20241130_237/17329543823249Fco9_JPEG/IMG_3199.jpeg&","216480",""
"4640916705","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","혀가 좀 얼얼하긴 한데 효과는 있어요.","5","dlgh******","2025-01-12T12:36:32.623+00:00","","216480",""
"4639149295","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","입냄새 제거용 간단 키트로 좋아요!","4","hidy***","2025-01-10T00:38:54.286+00:00","","216480",""
"4633279786","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","한번 사서 써보니  계속  이것만  사게 되네요   나는  참  좋아요   ..","5","phk1***","2025-01-01T08:44:20.359+00:00","","216480",""
"4633152196","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","마스크 쓰고 오래 일하다보니 필요했어요!! 혀가 좀 아리지만 목까지 상쾌해요","5","nega*****","2025-01-01T03:42:26.083+00:00","","216480",""
"4640343581","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","달달하니 좋네요 ㅎㅎ","5","aqua****","2025-01-11T11:44:33.489+00:00","","216480",""
"4636709617","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","처음에는 낯설었는데 완전 중독됐습니다","5","gong****","2025-01-06T13:21:49.304+00:00","","216480",""
"4614752811","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","일하는데 두고 하나씩 까먹기 좋아요~ 얼얼한 맛에 중독되서 계속 먹는중 ㅠㅠ ㅋㅋ","5","fleu********","2024-12-05T08:01:46.887+00:00","&https://phinf.pstatic.net/checkout.phinf/20241205_83/1733385665620HUMwx_JPEG/image.jpg&","216480",""
"4638287578","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","입냄새 제거 효과가 확실함","5","yuns******","2025-01-08T14:08:39.940+00:00","","216480",""
"4620969228","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","감사합니다 잘먹고있습니다","5","nave*****","2024-12-13T11:41:16.848+00:00","&https://phinf.pstatic.net/checkout.phinf/20241213_227/1734090069695JiUVo_JPEG/1000041204.jpg&","216480",""
"4608333224","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","먹고 나면 입이 확실히 상쾌해지는 게 양치를 하지 못하는 상황에서 먹어주기에 딱 좋아요. 항상 가지고 다니면서 하나씩 먹어주고 있어요.","5","bsy9***","2024-11-27T00:48:52.591+00:00","&https://phinf.pstatic.net/checkout.phinf/20241127_5/1732668526865e9BGW_JPEG/1000031524.jpg&","216480",""
"4628685242","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","정말 중독중독 ~~~^^ 양도 많고
 빠른배송 감사드려요^^","5","oolo*****","2024-12-24T13:43:02.472+00:00","","216480",""
"4621297834","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","말 많이하는 교사예요.
학생들, 학부모님들과 가까운 거리에서
상담하기 전 하나 먹으면 너무 개운하고 좋아요.
처음에는 맛이 너무 강하다고 느꼈는데
먹을수록 중독됩니다 ㅎ","5","fror***","2024-12-14T03:16:49.622+00:00","","216480",""
"4615463430","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","항상 사용하는 제품 입니다. 긴급상황에 유용해요.","5","funn****","2024-12-06T05:18:42.467+00:00","&https://phinf.pstatic.net/checkout.phinf/20241206_85/1733462313862pE6cJ_JPEG/1733462299947.jpg&","216480",""
"4609836546","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","먹던 건데 떨어져서 재주문해요. 입안 텁텁할때나  건조하고 목아플때 하나씩 물고 있음 좋아요","5","ddoc***","2024-11-29T00:10:04.778+00:00","&https://phinf.pstatic.net/checkout.phinf/20241129_58/1732838997922SlAai_JPEG/E7F4225F-CF72-45DB-AED9-63086FD8E5C5.jpeg&","216480",""
"4624723609","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","생각보다 단맛이 조금 있고 강렬한 맛은 아니네요 . 그래도 잘 먹겠습니다.","4","di****","2024-12-18T16:10:11.414+00:00","","216480",""
"4610796978","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","말 많이 하는 직업으로
유명하다는거 다써보고 
돈도 많이 투자했는데
이거먹고 진짜. 유레카입니다
먹으면 확실히 구취가 안나고 신경도 덜쓰여요","5","tig0****","2024-11-30T04:14:48.480+00:00","&https://phinf.pstatic.net/checkout.phinf/20241130_7/1732940084017QC4LM_JPEG/image.jpg&","216480",""
"4614949384","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","네고왕에서 알게되어서 자주 구매하고 있어요
입안이 개운해지는 느낌이 좋아요","5","twin*****","2024-12-05T12:07:24.298+00:00","&https://phinf.pstatic.net/checkout.phinf/20241205_128/1733400436841ECVAO_JPEG/1733400412655.jpg&","216480",""
"4625625245","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","진짜 고기 먹을때 마늘 먹어도 이거 먹으면
걍 먹은적이 없던게 됩니다.. 
진짜 사람들 만나기 전에 먹으면 개굿이고
하 그냥 모기향 나는거 빼면 그냥 다 좋은거 같아요","5","hong*********","2024-12-20T01:30:24.669+00:00","","216480",""
"4607840988","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","장기여행 잘 이용하구
가끔 야근하는아들집에
선물보내었는데
좋아하네요
여행시 출근시 임플란트남편
야간일할때
졸음방지 아주좋아요","5","kk****","2024-11-26T08:29:07.446+00:00","&https://phinf.pstatic.net/checkout.phinf/20241126_34/17326097438024GJQf_JPEG/IMG_2791.jpeg&","216480",""
"4612164075","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","대화할일이 많아 항상 입냄새 메너가 신경쓰였는데 캔디로 해결할 수 있어 만족해요","5","stat****","2024-12-02T04:55:05.303+00:00","&https://phinf.pstatic.net/checkout.phinf/20241202_49/173311530108335nHo_JPEG/IMG_7347.jpeg&","216480",""
"4611165721","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","이거 중독성이 있네요. 또 재구매 할 것 같습니다~","5","outc*****","2024-11-30T13:45:57.053+00:00","&https://phinf.pstatic.net/checkout.phinf/20241130_143/17329743245292TC0G_JPEG/20241119_201259.jpg&","216480",""
"4597819783","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","소개받아서 구매 후 먹어보고 좋아서 재구매합니다.입안이 상쾌해져서 좋아요. 집중해야 하는데 졸릴 때 하나씩 먹어도 좋습니다.","5","love*****","2024-11-12T13:06:36.058+00:00","&https://phinf.pstatic.net/checkout.phinf/20241112_15/1731416776042z6ixA_JPEG/1000008315.jpg&,&https://phinf.pstatic.net/checkout.phinf/20241112_24/17314167763468UG4p_JPEG/1000008316.jpg&","216480",""
"4617110062","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","선물도 보내고 아쥬 잘 먹고 있습니다~^^","5","gy****","2024-12-08T13:57:05.124+00:00","&https://phinf.pstatic.net/checkout.phinf/20241208_25/1733666221169YdgfU_JPEG/1000052981.jpg&","216480",""
"4610089555","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","부모님드리려고 구매했어요^^
입이자꾸 마르시구해서요!
효과가 좋았으면좋겠네요!","4","ho****","2024-11-29T04:50:12.419+00:00","&https://phinf.pstatic.net/checkout.phinf/20241129_273/1732855759451OIquP_JPEG/149048AF-D4BB-47B1-842D-FAA04B834A7F.jpeg&","216480",""
"4609840297","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","미팅을 하거나 사무실에서 일하면서 중간중간 입이 텁텁해질때 먹으면 매우 만족스럽습니다!","5","ruda*******","2024-11-29T00:15:33.531+00:00","&https://phinf.pstatic.net/checkout.phinf/20241129_283/1732839312724acp1z_JPEG/image.jpg&","216480",""
"4631766015","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","맛이 너무 이상해요","3","dlwo******","2024-12-29T16:55:21.744+00:00","","216480",""
"4621835156","9627336845","9581556402","테라브레스 마우스 로젠지캔디 만다린민트향 100개입","옵션선택: 로젠지 캔디 100개입","입냄새 신경쓰였는데 냄새 아나서 좋았어요 
지인에게 선물했더니 부탁해서 이번이 세번째 구매입니다
많이 파세요","5","ccr3***","2024-12-15T01:09:58.447+00:00","","216480",""
